index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
450,"Игрок, забравшийся на вершину. Том 4. ", Leach23,4.1,138,3.3,80,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игрок, забравшийся на вершину. Том 4. - Leach23.txt"
451,Контакт. Игра, Никита Семин,4.5,7,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Контакт. Игра - Никита Семин.txt
452,Файролл. Сицилианская защита, Андрей Васильев,4.8,965,4.3,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Сицилианская защита - Андрей Васильев.txt
453,Барон, Алекс Каменев,4.0,47,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Барон - Алекс Каменев.txt
454,Королевство Грез_ Великий Катаклизм, Кузьма Тайга,4.6,26,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Королевство Грез_ Великий Катаклизм - Кузьма Тайга.txt
455,Пенсия. Начало 1, Константин Левашов,4.2,29,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Пенсия. Начало 1 - Константин Левашов.txt
456,Некросы, Сергей Александрович Ли,4.5,8,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Некросы - Сергей Александрович Ли.txt
457,Зверолов, Владимир Поселягин,3.7,137,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Зверолов (СИ) - Степан Тырченков.txt
458,СПАСАТЕЛИ ВЕЕРА, Василий Головачёв,4.0,642,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/СПАСАТЕЛИ ВЕЕРА - Василий Головачёв.txt
459,Наемники. Смерть на Бетельгейзе (СИ), Вик Декард,4.7,302,4.2,70,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Наемники. Смерть на Бетельгейзе (СИ) - Вик Декард.txt
460,Посмотри в глаза Инферно, Влад Поляков,3.8,34,3.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Посмотри в глаза Инферно - Влад Поляков.txt
461,Империя. Врагов не будет! (СИ), Леонид Васильевич Мешалкин,4.4,1293,4.2,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Империя. Врагов не будет! (СИ) - Леонид Васильевич Мешалкин.txt
462,"Похоже, вы доигрались. Том Второй ", Николай Михайлович Новиков,4.9,192,None,None,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Похоже, вы доигрались. Том Второй - Николай Михайлович Новиков.txt"
463,Бродяга… С волками жить – по,волчьи выть!,3.9,66,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бродяга… С волками жить – по-волчьи выть! - Хайдарали Усманов.txt
464,Игра Джи. Последняя надежда, Сергей Анатольевич Савинов & Антон Дмитриевич Емельянов,4.7,62,4.3,24,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра Джи. Последняя надежда - Сергей Анатольевич Савинов & Антон Дмитриевич Емельянов.txt
465,Враг за спиной, Константин Николаевич Муравьев,4.1,289,4.0,26,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Враг за спиной (СИ) - Константин Николаевич Муравьев.txt
466,Дикарь. Часть 4. Игра чужаков, Хайдарали Усманов,3.7,43,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дикарь. Часть 4. Игра чужаков - Хайдарали Усманов.txt
467,Путь Шамана. Все только начинается, Василий Михайлович Маханенко,4.8,742,4.4,477,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Путь Шамана. Все только начинается - Василий Михайлович Маханенко.txt
