index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
0,Человек для особых поручений,Антон Демченко,4.6,137,4.5,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Человек для особых поручений - Антон В. Демченко.txt
1,Закон военного счастья,Николай Басов,4.3,14,4.3,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Закон военного счастья - Николай Басов.txt
2,Потерянный бог,Милослав Князев,4.3,225,3.8,80,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Потерянный бог (СИ) - Милослав Князев.txt
3,Звездный разведчик, Владимир Лосев,4.0,8,4.6,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Звездный разведчик - Владимир Лосев.txt
4,Путешествие из Петербурга в Москву (сборник), Александр Николаевич Радищев,4.2,9,3.7,59,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Путешествие из Петербурга в Москву (сборник) - Александр Николаевич Радищев.txt
5,Позывной «Технарь», Константин Николаевич Муравьёв,4.3,223,5.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Позывной «Технарь» - Константин Николаевич Муравьёв.txt
6,Личный враг человечества. Книга 2. Операция «Сны цивилизации», Алексей Имп,4.0,70,4.5,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Личный враг человечества. Книга 2. Операция «Сны цивилизации» - Алексей Имп.txt
7,Запрещенная реальность. Том 1, Василий Головачёв,4.3,125,3.3,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Запрещенная реальность. Том 1 - Василий Головачёв.txt
8,Сердце Дракона. Том 12 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сердце Дракона. Том 12 (СИ) - Кирилл Сергеевич Клеванский.txt
9,Вечный зов. Том II, Анатолий Иванов,4.7,101,4.7,200,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вечный зов. Том II - Анатолий Иванов.txt
10,Везунчики, Рустам Максимов,3.7,18,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Везунчики - Рустам Максимов.txt
11,Живучий. Закрытые миры, Константин Николаевич Муравьев,4.2,466,3.8,37,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Живучий. Закрытые миры - Константин Николаевич Муравьев.txt
12,Юзер, Анджей Ясинский,4.4,308,4.4,375,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Юзер - Анджей Ясинский.txt
13,Из евреев в попаданцы. Книга вторая., Дмитрий Гаук,4.9,722,5.0,13,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Из евреев в попаданцы. Книга вторая. - Дмитрий Гаук.txt
14,Страна негодяев, Сергей Александрович Есенин,4.6,27,4.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Страна негодяев - Сергей Александрович Есенин.txt
15,Галактика онлайн. Том 2, Павел Коршунов,4.4,173,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Галактика онлайн. Том 2 - Павел Коршунов.txt
16,Управленец, Владимир Поселягин,4.3,22,3.8,35,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Управленец - Владимир Поселягин.txt
17,Кальмар. Полная книга, Валерий Шалдин,4.4,18,4.1,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кальмар. Полная книга - Валерий Шалдин.txt
18,Леший. Путь проклятых, Али Алиев,4.2,242,5.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Леший. Путь проклятых - Али Алиев.txt
19,Азарт, Терентий Гравин,4.9,7,3.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Азарт - Терентий Гравин.txt
20,Попадос 4, Sunmen,4.4,36,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Попадос 4 - Sunmen.txt
21,Императоры Иллюзий, Сергей Васильевич Лукьяненко,4.7,591,4.4,1446,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Императоры Иллюзий - Сергей Васильевич Лукьяненко.txt
22,Новые маги. Друид, Максим Дрешпак,4.3,12,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Новые маги. Друид - Максим Дрешпак.txt
23,Нрзи. Колония нестрогого режима., Арт Богданов,4.3,34,4.0,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нрзи. Колония нестрогого режима. - Арт Богданов.txt
24,Игра в Игре. Том 2. Великая гробница, Омельянов Ярослав,4.0,1,4.5,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра в Игре. Том 2. Великая гробница - Омельянов Ярослав.txt
25,Лабиринт на орбите, Сергей Залевский,2.0,6,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Лабиринт на орбите - Сергей Залевский.txt
26,Красный смех (сборник), Леонид Николаевич Андреев,4.8,205,4.7,22,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Красный смех (сборник) - Леонид Николаевич Андреев.txt
27,Не будите спящих джиннов, Василий Головачёв,4.4,59,4.7,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Не будите спящих джиннов - Василий Головачёв.txt
28,Попадос 3, Sunmen,4.6,33,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Попадос 3 - Sunmen.txt
29,Демон Разума 2_ Культ света, Иван Шаман,3.8,328,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Демон Разума 2_ Культ света - Иван Шаман.txt
30,Империя, Милослав Князев,4.3,178,3.9,41,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Империя - Милослав Князев.txt
31,Магия Фиора, Милослав Князев,4.5,155,3.9,32,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Магия Фиора - Милослав Князев.txt
32,Чудеса случаются. Дилогия, Александр Борискин,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Чудеса случаются. Дилогия - Александр Борискин.txt
33,Нойоны. Гроза на востоке, Александр Юрьевич Бауров,3.6,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нойоны. Гроза на востоке - Александр Юрьевич Бауров.txt
34,Аэрос. Оцифрованный мир (1-2), Александр Сергеевич Пантелеев,None,None,4.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Аэрос. Оцифрованный мир (1-2) - Александр Сергеевич Пантелеев.txt
35,Зародыш мира. Начало, Эрленеков Виктор,4.6,11,4.3,151,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Зародыш мира. Начало - Victor.txt
36,Тайные кланы. Пробуждение вайлорда, Элиан Тарс,5.0,15,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тайные кланы. Пробуждение вайлорда - Элиан Тарс.txt
37,История одного пета. Часть 1, Алексей Калинин,4.7,643,4.3,105,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/История одного пета. Часть 1 - Алексей Калинин.txt
38,Бессистемная отладка. Утилизация, Тимофей Царенко,4.7,462,3.8,83,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бессистемная отладка. Утилизация - Тимофей Царенко.txt
39,Иностранец. Друзья и враги, Игорь Витальевич Шелег,4.6,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Иностранец. Друзья и враги - Игорь Витальевич Шелег.txt
40,С любимыми не расставайтесь! (сборник), Александр Володин,4.6,14,4.0,51,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/С любимыми не расставайтесь! (сборник) - Александр Володин.txt
41,Волк. Студент, Виктория Гетто & Александр Михайлович Авраменко,4.3,74,3.4,12,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Волк. Студент - Виктория Гетто & Александр Михайлович Авраменко.txt
42,Файролл. Край холодных ветров, Андрей Васильев,4.8,965,4.3,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Край холодных ветров - Андрей Васильев.txt
43,Правдивая история Азраила. Враг двух миров. Том 4 (Passum Interitum 1.4) (СИ), Антон Тутынин,4.5,495,3.9,59,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Правдивая история Азраила. Враг двух миров. Том 4 (Passum Interitum 1.4) (СИ) - Антон Тутынин.txt
44,ГКР-3, Руслан Алексеевич Михайлов,4.8,301,4.4,454,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/ГКР-3. Второй Великий Катаклизм - Дем Михайлов.txt
45,История одного Воина. Начало., Виталий Молодушный Салливан,4.1,136,4.4,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/История одного Воина. Начало. - Виталий Молодушный Салливан.txt
46,Защита Периметра. Второй контракт, Михаил Александрович Атаманов,4.9,478,4.5,153,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Защита Периметра. Второй контракт - Михаил Александрович Атаманов.txt
47,Последний Выживший. Том 1, Грек Максим,2.7,8,1.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последний Выживший. Том 1 - Грек Максим.txt
48,"Прощай, Гульсары! (сборник) ", Чингиз Айтматов,4.9,73,4.7,93,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прощай, Гульсары! (сборник) - Чингиз Айтматов.txt"
49,Трудно быть богом, Аркадий Стругацкий & Борис Стругацкий,4.7,2288,4.4,17 931,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Трудно быть богом - Аркадий Стругацкий & Борис Стругацкий.txt
50,"Некрополь. Том первый, часть первая. ", Евгений Нетт,4.7,32,4.5,429,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Некрополь. Том первый, часть первая. - Евгений Нетт.txt"
51,Адмирал с Земли, Алексей Константинович Чижовский,4.4,181,4.2,38,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Адмирал с Земли - Алексей Константинович Чижовский.txt
52,Следы Сиятельного. Книга первая. Пункт назначения., Джон Голд,4.6,45,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Следы Сиятельного. Книга первая. Пункт назначения. - Джон Голд.txt
53,КвазаРазмерность. Книга 4, Виталий Вавикин,4.5,58,4.5,4764,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/КвазаРазмерность. Книга 4 - Виталий Вавикин.txt
54,Девятый уровень. Часть вторая., Дмитрий Серебряков,4.8,59,4.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Девятый уровень. Часть вторая. - Дмитрий Серебряков.txt
55,Дитя, К_И_С,4.0,1645,3.4,13 086,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дитя - К_И_С.txt
56,Ведьма (сборник), Надежда Тэффи,4.7,26,4.4,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ведьма (сборник) - Надежда Тэффи.txt
57,Альфа. Игрок R 5, Дан Лебэл,4.5,153,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Альфа. Игрок R 5-100 - Дан Лебэл.txt
58,Кальмар. Книга первая, Валерий Шалдин,4.4,18,4.1,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кальмар. Книга первая - Валерий Шалдин.txt
59,Мобильник для героя, Николай Нестеров,4.3,42,3.2,27,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мобильник для героя - Николай Нестеров.txt
60,Город Л.Збт, Кромт,4.9,21,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Город Л.Збт - Кромт.txt
61,Катар. часть вторая, Игорь Анатольевич Хорт,4.4,1090,4.3,948,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Катар. часть вторая - Игорь Анатольевич Хорт.txt
62,Преступление и наказание, Федор Михайлович Достоевский,4.3,123,4.4,58049,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Преступление и наказание - Федор Михайлович Достоевский.txt
63,Сын Галактики. Противостояние, Дмитрий Викторович Распопов,4.2,86,3.8,43,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сын Галактики. Противостояние - Дмитрий Викторович Распопов.txt
64,Великая Игра, Андреев Александр Зак,4.4,140,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Великая Игра (Лит Рпг) - Коляденко Владимир Анатольевич.txt
65,Проклятое дитя. Том 1 часть вторая, Олег Митрофанов,4.0,1645,3.4,13 086,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Проклятое дитя. Том 1 часть вторая - Олег Митрофанов.txt
66,"Виват, император. Часть третья ", Юрий Николаевич Москаленко,4.5,297,3.9,7,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Виват, император. Часть третья - Юрий Николаевич Москаленко.txt"
67,Последний выживший. Дилогия (СИ), Максим Грек (СИ),2.7,8,1.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последний выживший. Дилогия (СИ) - Максим Грек (СИ).txt
68,Воплощенный в Камне. Книга 1, Алексей Тихий,4.8,19,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Воплощенный в Камне. Книга 1 - Алексей Тихий.txt
69,Мистический рыцарь, Тайниковский,4.8,57,3.0,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мистический рыцарь - Тайниковский.txt
70,Боевое безумие, Сергей Александрович Ли,4.5,8,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Боевое безумие - Сергей Александрович Ли.txt
71,Итрим. Нижний Мир (СИ), Дмитрий Колотилин,4.3,1249,4.5,128,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Итрим. Нижний Мир (СИ) - Дмитрий Колотилин.txt
72,Темный Эвери. Путь смерти, Иван Суббота,4.7,149,4.4,86,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Темный Эвери. Путь смерти - Иван Суббота.txt
73,Возвращение Ангелов. Начало, Максим Некрасов,4.7,356,4.4,2241,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Возвращение Ангелов. Начало - Максим Некрасов.txt
74,Временщик. Вратарь (СИ), Дмитрий Билик,4.8,374,4.3,61,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Временщик. Вратарь (СИ) - Дмитрий Билик.txt
75,Галактиона. Начало игры, Василий Михайлович Маханенко,4.6,388,4.0,113,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Галактиона. Начало игры - Василий Михайлович Маханенко.txt
76,Мир осколков. В небесах, Никита Семин,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир осколков. В небесах - Никита Семин.txt
77,Хан. Рождение легенды, Дмитрий Серебряков,4.0,91,3.8,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хан. Рождение легенды - Дмитрий Серебряков.txt
78,Беглецы. Тетралогия, Виктория Гетто,3.9,67,3.2,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Беглецы. Тетралогия - Виктория Гетто.txt
79,Файролл. Квадратура круга. Том 1, Андрей Васильев,4.7,1257,4.2,59,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Квадратура круга. Том 1 - Андрей Васильев.txt
80,Мутант. Новая колония., Виктор Казначеев,4.5,3259,4.3,15 488,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мутант. Новая колония. - Виктор Казначеев.txt
81,Свободные Миры. Змеиные сети, Анатолий Натанович Арсеньев,4.2,50,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Свободные Миры. Змеиные сети - Анатолий Натанович Арсеньев.txt
82,Зеркала Арона. Посвященный, Алексей Евгениевич Федоров,4.6,7,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Зеркала Арона. Посвященный - Алексей Евгениевич Федоров.txt
83,Инферно, Дмитрий Рус,4.8,944,4.5,901,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Инферно - Дмитрий Рус.txt
84,Огнев. Друг мой враг 1. Нереальный, Антон Огнев,4.2,42,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Огнев. Друг мой враг 1. Нереальный - Неизвестный.txt
85,Второй шанс для свиданий, Тигра Белая,4.9,11,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Второй шанс для свиданий - Тигра Белая.txt
86,Затерянные среди звезд, Александр Анатольевич Берг,4.7,1131,4.3,592,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Затерянные среди звезд - Александр Анатольевич Берг.txt
87,Предел битвы. Книга,1,4.8,7,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Предел битвы. Книга-1 - Дмитрий Леший.txt
88,Дальше. Книга 2 (СИ), Михаил Владимирович Савич,4.7,560,4.7,1651,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дальше. Книга 2 (СИ) - Михаил Владимирович Савич.txt
89,Молодая гвардия, Александр Александрович Фадеев,4.6,142,4.3,1949,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Молодая гвардия - Александр Александрович Фадеев.txt
90,Гремя огнём. сверкая блеском стали, А. Лукьянов,4.1,171,4.1,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гремя огнём. сверкая блеском стали-6 - А.Лукьянов.txt
91,Хардкор, Владимир Венгловский,3.8,118,3.2,34,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хардкор - Владимир Венгловский.txt
92,Княжна Тараканова (сборник), Григорий Петрович Данилевский,4.7,3,4.1,386,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Княжна Тараканова (сборник) - Григорий Петрович Данилевский.txt
93,Двенадцать стульев. Золотой теленок, Илья Ильф & Евгений Петров,4.4,63,4.6,25 076,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Двенадцать стульев. Золотой теленок - Илья Ильф & Евгений Петров.txt
94,Месть нуба, Серж Винтеркей,4.8,1537,4.0,35,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Месть нуба - Серж Винтеркей.txt
95,Серый город, Элиан Тарс,4.6,89,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Серый город - Элиан Тарс.txt
96,Заханд. Финал. [СИ], Алексей Владимирович Андриенко,4.7,24,3.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Заханд. Финал. [СИ] - Алексей Владимирович Андриенко.txt
97,Эрта. Время сирот, Николай Побережник,4.5,74,4.2,14,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эрта. Время сирот - Николай Побережник.txt
98,Система Возвышения. Метаморф!, Кин,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Система Возвышения. Метаморф! - Кин.txt
99,Проект «Апокалипсис», Иван Магазинников,4.3,103,3.9,11,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Проект «Апокалипсис» - Иван Магазинников.txt
100,Эпоха справедливости. Книга вторая. Рассвет., Андрей Мороз,4.4,18,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эпоха справедливости. Книга вторая. Рассвет. - Андрей Мороз.txt
101,Вызов. Книга 2 (гл. 1,33),4.7,2868,4.6,5963,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вызов. Книга 2 (гл. 1-33) - Владимир Сударев.txt
102,Наследие древних, Милослав Князев,4.4,130,4.0,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Наследие древних - Милослав Князев.txt
103,Даркнет. Игра реальности, Антон Дмитриевич Емельянов & Сергей Анатольевич Савинов,4.2,185,4.3,33,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Даркнет. Игра реальности - Антон Дмитриевич Емельянов & Сергей Анатольевич Савинов.txt
104,Верравия. Ключ Отца, Дмитрий Билик,4.4,64,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Верравия. Ключ Отца - Дмитрий Билик.txt
105,Level Up. Нокаут 2, Данияр Саматович Сугралинов & Максим Александрович Лагно,4.3,24,4.6,29,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Level Up. Нокаут 2 - Данияр Саматович Сугралинов & Максим Александрович Лагно.txt
106,Хроники Реликта. Том 2, Василий Головачёв,4.7,51,4.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хроники Реликта. Том 2 - Василий Головачёв.txt
107,Новая Земля. Мое начало игры," Alevolva, Трощенко Илья",4.6,321,4.5,559,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Новая Земля. Мое начало игры - Alevolva, Трощенко Илья.txt"
108,Вампир. Анаракт (СИ), Виктор Казначеев,4.4,3585,4.3,5764,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вампир. Анаракт (СИ) - Виктор Казначеев.txt
109,Ворон. Скафандр богов, Олег Мельник,3.4,10,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ворон. Скафандр богов - Олег Мельник.txt
110,Худший из миров. Книга 1, Валерий Иванович Софроний,4.3,193,3.7,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Худший из миров. Книга 1 - Валерий Иванович Софроний.txt
111,Клинок выковывается, Дмитрий В,4.5,146,4.5,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Клинок выковывается - Дмитрий В. Распопов.txt
112,Маг-сыскарь,Константин Геннадьевич Борисов-Назимов,4.4,37,3.7,14,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Маг-сыскарь. Призвание - Константин Геннадьевич Борисов-Назимов.txt
113,Дитя Гетеи,Константин Келлер,4.3,8,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дитя Гетеи - Константин Келлер.txt
114,Перенос,Евгений Кострица,3.4,50,3.5,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Перенос - Евгений Кострица.txt
115,Трансформация. Темный Мир (СИ), Валерий Старский,4.6,172,4.2,38,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Трансформация. Темный Мир (СИ) - Валерий Старский.txt
116,Охотник. Тайна Долины Смерти, Хайдарали Усманов,4.0,89, None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охотник. Тайна Долины Смерти - Хайдарали Усманов.txt
117,Человечество. Дни грядущие (СИ), Владимир Снежкин,4.6,30,4.3,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Человечество. Дни грядущие (СИ) - Владимир Снежкин.txt
118,Преторианец. Начало [СИ], Д К Баймышев,4.1,46,4.0,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Преторианец. Начало [СИ] - Д К Баймышев.txt
119,Тульпомансер. Книга 1, Дмитрий Васильевич Нелин,4.7,33,4.3,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тульпомансер. Книга 1 [publisher_ ИДДК] - Дмитрий Васильевич Нелин.txt
120,"Вы призвали не того_. (книга 6, том 1) ", Тимур Айтбаев,4.5,102,4.4,1934,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вы призвали не того_. (книга 6, том 1) - Тимур Айтбаев.txt"
121,Кицунэ. Луч во Тьме, Валери Кир,4.2,324,3.6,81,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кицунэ. Луч во Тьме - Валери Кир.txt
122,Сен. Книга пятая. Взросление Сена. Цензурная версия, Арсёнов Илья,4.4,7402,4.4,7879,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сен. Книга пятая. Взросление Сена. Цензурная версия. - Арсёнов Илья.txt
123,Баронет. Старые враги, Евгений Катрич,4.9,28,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Баронет. Старые враги - Евгений Катрич.txt
124,Петербургские трущобы. Том 1, Всеволод Владимирович Крестовский,4.7,149,4.3,305,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Петербургские трущобы. Том 1 - Всеволод Владимирович Крестовский.txt
125,Изгнание владыки. Роман. Рассказы, Григорий Борисович Адамов,4.5,3259,4.3,15 488,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Изгнание владыки. Роман. Рассказы - Григорий Борисович Адамов.txt
126,Не герой. Том 3, Леонид Антонов,3.9,31,4.0,60,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Не герой. Том 3 - Леонид Антонов.txt
127,Тау Мара. Контролер, Владимир Кощеев,4.4,32,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тау Мара. Контролер - Владимир Кощеев.txt
128,Рой, Вячеслав Кумин,4.0,73,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Рой - Вячеслав Кумин.txt
129,Возвращение Ангелов. Книга 2. Игра со смертью., Максим Некрасов,4.7,356,4.4,2241,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Возвращение Ангелов. Книга 2. Игра со смертью. - Максим Некрасов.txt
130,Меняющийся Мир. Исток, Сергей Кац,4.9,31,4.3,21,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Меняющийся Мир. Исток - Сергей Кац.txt
131,Бездна голодных глаз, Генри Лайон Олди,4.6,51,4.5,67,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бездна голодных глаз - Генри Лайон Олди.txt
132,Маг-рукопашник, Виктор Францев,4.6,39,2.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Маг-рукопашник - Виктор Францев.txt
133,Амулет князя, Ольга Яновская,4.0,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Амулет князя - Ольга Яновская.txt
134,"Хаос, порядок и разум. 8 ", Прочерк Игорь Анатольевич,3.9,7,None,None,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хаос, порядок и разум. 8 - Прочерк Игорь Анатольевич.txt"
135,Level Up. Испытание, Данияр Саматович Сугралинов,4.3,24,4.6,29,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Level Up. Испытание - Данияр Саматович Сугралинов.txt
136,Эскул. О скитаниях, Андрей Респов,4.7,18,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эскул. О скитаниях - Андрей Респов.txt
137,Наследник, Сергей Залевский,2.5,19,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Варга и Наследник Серебряного Трона (СИ) - Иван Лагунин.txt
138,Уравнение с одним неизвестным, Василий Маханенко,4.7,235,4.4,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Уравнение с одним неизвестным - Василий Маханенко.txt
139,КвазаРазмерность. Книга 3, Виталий Вавикин,4.5,58,4.5,4764,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/КвазаРазмерность. Книга 3 - Виталий Вавикин.txt
140,Некромант из криокамеры 3, Владимир Кощеев,4.7,124,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Некромант из криокамеры 3 - Владимир Кощеев.txt
141,Альвен. Не время умирать, Евгений Сай,5.0,1,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Альвен. Не время умирать - Евгений Сай.txt
142,Очень живучая тварь, Ам Аль,5.0,6,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Очень живучая тварь - Ам Аль.txt
143,У Безумия тоже есть цвет, Верона Кей,5.0,17,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/У Безумия тоже есть цвет - Верона Кей.txt
144,Quantum compita, Алексей Лавров,3.7,33,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Quantum compita - Алексей Лавров.txt
145,Каторга. Преступники, Влас Михайлович Дорошевич,4.6,351,4.5,429,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Каторга. Преступники - Влас Михайлович Дорошевич.txt
146,Синица. Титан. Дилогия, Неизвестный,4.8,29,4.7,34,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Синица. Титан. Дилогия - Неизвестный.txt
